Col,Row,X- axis,Y - axis,Z - axis,,Home,,Pick,,,Place,,Pick from,Place in,,Waypoints
a,8,0.271875,-0.13125,0.45,0.45 0 0.49;,[0.45; 0; 0.49],pick1,[0.271875; -0.13125; 0.45],0.271875 -0.13125 0.45;,place1,[0.271875; -0.13125; 0.45],0.271875 -0.13125 0.45;,[0.271875 -0.13125 0.45;0.271875 -0.13125 0.45;0.45 0 0.49;,0.271875 0.175 0.45;0.271875 0.175 0.45;0.45 0 0.49;],Waypoint1,[0.271875 -0.13125 0.45;0.271875 -0.13125 0.45;0.45 0 0.49; 0.271875 0.175 0.45;0.271875 0.175 0.45;0.45 0 0.49;]
b,8,0.271875,-0.0875,0.45,0.45 0 0.49;,[0.45; 0; 0.49],pick2,[0.271875; -0.0875; 0.45],0.271875 -0.0875 0.45;,place2,[0.271875; -0.0875; 0.45],0.271875 -0.0875 0.45;,[0.271875 -0.0875 0.45;0.271875 -0.0875 0.45;0.45 0 0.49;,,Waypoint2,
c,8,0.271875,-0.04375,0.45,0.45 0 0.49;,[0.45; 0; 0.49],pick3,[0.271875; -0.04375; 0.45],0.271875 -0.04375 0.45;,place3,[0.271875; -0.04375; 0.45],0.271875 -0.04375 0.45;,[0.271875 -0.04375 0.45;0.271875 -0.04375 0.45;0.45 0 0.49;,,Waypoint3,
d,8,0.271875,0,0.45,0.45 0 0.49;,[0.45; 0; 0.49],pick4,[0.271875; 0; 0.45],0.271875 0 0.45;,place4,[0.271875; 0; 0.45],0.271875 0 0.45;,[0.271875 0 0.45;0.271875 0 0.45;0.45 0 0.49;,,Waypoint4,
e,8,0.271875,0.04375,0.45,0.45 0 0.49;,[0.45; 0; 0.49],pick5,[0.271875; 0.04375; 0.45],0.271875 0.04375 0.45;,place5,[0.271875; 0.04375; 0.45],0.271875 0.04375 0.45;,[0.271875 0.04375 0.45;0.271875 0.04375 0.45;0.45 0 0.49;,,Waypoint5,
f,8,0.271875,0.0875,0.45,0.45 0 0.49;,[0.45; 0; 0.49],pick6,[0.271875; 0.0875; 0.45],0.271875 0.0875 0.45;,place6,[0.271875; 0.0875; 0.45],0.271875 0.0875 0.45;,[0.271875 0.0875 0.45;0.271875 0.0875 0.45;0.45 0 0.49;,,Waypoint6,
g,8,0.271875,0.13125,0.45,0.45 0 0.49;,[0.45; 0; 0.49],pick7,[0.271875; 0.13125; 0.45],0.271875 0.13125 0.45;,place7,[0.271875; 0.13125; 0.45],0.271875 0.13125 0.45;,[0.271875 0.13125 0.45;0.271875 0.13125 0.45;0.45 0 0.49;,,Waypoint7,
h,8,0.271875,0.175,0.45,0.45 0 0.49;,[0.45; 0; 0.49],pick8,[0.271875; 0.175; 0.45],0.271875 0.175 0.45;,place8,[0.271875; 0.175; 0.45],0.271875 0.175 0.45;,[0.271875 0.175 0.45;0.271875 0.175 0.45;0.45 0 0.49;,,Waypoint8,
a,7,0.315625,-0.13125,0.45,0.45 0 0.49;,[0.45; 0; 0.49],pick9,[0.315625; -0.13125; 0.45],0.315625 -0.13125 0.45;,place9,[0.315625; -0.13125; 0.45],0.315625 -0.13125 0.45;,[0.315625 -0.13125 0.45;0.315625 -0.13125 0.45;0.45 0 0.49;,,Waypoint9,
b,7,0.315625,-0.0875,0.45,0.45 0 0.49;,[0.45; 0; 0.49],pick10,[0.315625; -0.0875; 0.45],0.315625 -0.0875 0.45;,place10,[0.315625; -0.0875; 0.45],0.315625 -0.0875 0.45;,[0.315625 -0.0875 0.45;0.315625 -0.0875 0.45;0.45 0 0.49;,,Waypoint10,
c,7,0.315625,-0.04375,0.45,0.45 0 0.49;,[0.45; 0; 0.49],pick11,[0.315625; -0.04375; 0.45],0.315625 -0.04375 0.45;,place11,[0.315625; -0.04375; 0.45],0.315625 -0.04375 0.45;,[0.315625 -0.04375 0.45;0.315625 -0.04375 0.45;0.45 0 0.49;,,Waypoint11,
d,7,0.315625,0,0.45,0.45 0 0.49;,[0.45; 0; 0.49],pick12,[0.315625; 0; 0.45],0.315625 0 0.45;,place12,[0.315625; 0; 0.45],0.315625 0 0.45;,[0.315625 0 0.45;0.315625 0 0.45;0.45 0 0.49;,,Waypoint12,
e,7,0.315625,0.04375,0.45,0.45 0 0.49;,[0.45; 0; 0.49],pick13,[0.315625; 0.04375; 0.45],0.315625 0.04375 0.45;,place13,[0.315625; 0.04375; 0.45],0.315625 0.04375 0.45;,[0.315625 0.04375 0.45;0.315625 0.04375 0.45;0.45 0 0.49;,,Waypoint13,
f,7,0.315625,0.0875,0.45,0.45 0 0.49;,[0.45; 0; 0.49],pick14,[0.315625; 0.0875; 0.45],0.315625 0.0875 0.45;,place14,[0.315625; 0.0875; 0.45],0.315625 0.0875 0.45;,[0.315625 0.0875 0.45;0.315625 0.0875 0.45;0.45 0 0.49;,,Waypoint14,
g,7,0.315625,0.13125,0.45,0.45 0 0.49;,[0.45; 0; 0.49],pick15,[0.315625; 0.13125; 0.45],0.315625 0.13125 0.45;,place15,[0.315625; 0.13125; 0.45],0.315625 0.13125 0.45;,[0.315625 0.13125 0.45;0.315625 0.13125 0.45;0.45 0 0.49;,,Waypoint15,
h,7,0.315625,0.175,0.45,0.45 0 0.49;,[0.45; 0; 0.49],pick16,[0.315625; 0.175; 0.45],0.315625 0.175 0.45;,place16,[0.315625; 0.175; 0.45],0.315625 0.175 0.45;,[0.315625 0.175 0.45;0.315625 0.175 0.45;0.45 0 0.49;,,Waypoint16,
a,6,0.359375,-0.13125,0.45,0.45 0 0.49;,[0.45; 0; 0.49],pick17,[0.359375; -0.13125; 0.45],0.359375 -0.13125 0.45;,place17,[0.359375; -0.13125; 0.45],0.359375 -0.13125 0.45;,[0.359375 -0.13125 0.45;0.359375 -0.13125 0.45;0.45 0 0.49;,,Waypoint17,
b,6,0.359375,-0.0875,0.45,0.45 0 0.49;,[0.45; 0; 0.49],pick18,[0.359375; -0.0875; 0.45],0.359375 -0.0875 0.45;,place18,[0.359375; -0.0875; 0.45],0.359375 -0.0875 0.45;,[0.359375 -0.0875 0.45;0.359375 -0.0875 0.45;0.45 0 0.49;,,Waypoint18,
c,6,0.359375,-0.04375,0.45,0.45 0 0.49;,[0.45; 0; 0.49],pick19,[0.359375; -0.04375; 0.45],0.359375 -0.04375 0.45;,place19,[0.359375; -0.04375; 0.45],0.359375 -0.04375 0.45;,[0.359375 -0.04375 0.45;0.359375 -0.04375 0.45;0.45 0 0.49;,,Waypoint19,
d,6,0.359375,0,0.45,0.45 0 0.49;,[0.45; 0; 0.49],pick20,[0.359375; 0; 0.45],0.359375 0 0.45;,place20,[0.359375; 0; 0.45],0.359375 0 0.45;,[0.359375 0 0.45;0.359375 0 0.45;0.45 0 0.49;,,Waypoint20,
e,6,0.359375,0.04375,0.45,0.45 0 0.49;,[0.45; 0; 0.49],pick21,[0.359375; 0.04375; 0.45],0.359375 0.04375 0.45;,place21,[0.359375; 0.04375; 0.45],0.359375 0.04375 0.45;,[0.359375 0.04375 0.45;0.359375 0.04375 0.45;0.45 0 0.49;,,Waypoint21,
f,6,0.359375,0.0875,0.45,0.45 0 0.49;,[0.45; 0; 0.49],pick22,[0.359375; 0.0875; 0.45],0.359375 0.0875 0.45;,place22,[0.359375; 0.0875; 0.45],0.359375 0.0875 0.45;,[0.359375 0.0875 0.45;0.359375 0.0875 0.45;0.45 0 0.49;,,Waypoint22,
g,6,0.359375,0.13125,0.45,0.45 0 0.49;,[0.45; 0; 0.49],pick23,[0.359375; 0.13125; 0.45],0.359375 0.13125 0.45;,place23,[0.359375; 0.13125; 0.45],0.359375 0.13125 0.45;,[0.359375 0.13125 0.45;0.359375 0.13125 0.45;0.45 0 0.49;,,Waypoint23,
h,6,0.359375,0.175,0.45,0.45 0 0.49;,[0.45; 0; 0.49],pick24,[0.359375; 0.175; 0.45],0.359375 0.175 0.45;,place24,[0.359375; 0.175; 0.45],0.359375 0.175 0.45;,[0.359375 0.175 0.45;0.359375 0.175 0.45;0.45 0 0.49;,,Waypoint24,
a,5,0.403125,-0.13125,0.45,0.45 0 0.49;,[0.45; 0; 0.49],pick25,[0.403125; -0.13125; 0.45],0.403125 -0.13125 0.45;,place25,[0.403125; -0.13125; 0.45],0.403125 -0.13125 0.45;,[0.403125 -0.13125 0.45;0.403125 -0.13125 0.45;0.45 0 0.49;,,Waypoint25,
b,5,0.403125,-0.0875,0.45,0.45 0 0.49;,[0.45; 0; 0.49],pick26,[0.403125; -0.0875; 0.45],0.403125 -0.0875 0.45;,place26,[0.403125; -0.0875; 0.45],0.403125 -0.0875 0.45;,[0.403125 -0.0875 0.45;0.403125 -0.0875 0.45;0.45 0 0.49;,,Waypoint26,
c,5,0.403125,-0.04375,0.45,0.45 0 0.49;,[0.45; 0; 0.49],pick27,[0.403125; -0.04375; 0.45],0.403125 -0.04375 0.45;,place27,[0.403125; -0.04375; 0.45],0.403125 -0.04375 0.45;,[0.403125 -0.04375 0.45;0.403125 -0.04375 0.45;0.45 0 0.49;,,Waypoint27,
d,5,0.403125,0,0.45,0.45 0 0.49;,[0.45; 0; 0.49],pick28,[0.403125; 0; 0.45],0.403125 0 0.45;,place28,[0.403125; 0; 0.45],0.403125 0 0.45;,[0.403125 0 0.45;0.403125 0 0.45;0.45 0 0.49;,,Waypoint28,
e,5,0.403125,0.04375,0.45,0.45 0 0.49;,[0.45; 0; 0.49],pick29,[0.403125; 0.04375; 0.45],0.403125 0.04375 0.45;,place29,[0.403125; 0.04375; 0.45],0.403125 0.04375 0.45;,[0.403125 0.04375 0.45;0.403125 0.04375 0.45;0.45 0 0.49;,,Waypoint29,
f,5,0.403125,0.0875,0.45,0.45 0 0.49;,[0.45; 0; 0.49],pick30,[0.403125; 0.0875; 0.45],0.403125 0.0875 0.45;,place30,[0.403125; 0.0875; 0.45],0.403125 0.0875 0.45;,[0.403125 0.0875 0.45;0.403125 0.0875 0.45;0.45 0 0.49;,,Waypoint30,
g,5,0.403125,0.13125,0.45,0.45 0 0.49;,[0.45; 0; 0.49],pick31,[0.403125; 0.13125; 0.45],0.403125 0.13125 0.45;,place31,[0.403125; 0.13125; 0.45],0.403125 0.13125 0.45;,[0.403125 0.13125 0.45;0.403125 0.13125 0.45;0.45 0 0.49;,,Waypoint31,
h,5,0.403125,0.175,0.45,0.45 0 0.49;,[0.45; 0; 0.49],pick32,[0.403125; 0.175; 0.45],0.403125 0.175 0.45;,place32,[0.403125; 0.175; 0.45],0.403125 0.175 0.45;,[0.403125 0.175 0.45;0.403125 0.175 0.45;0.45 0 0.49;,,Waypoint32,
